 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7703****** 耗时:   112s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7710****** 耗时:   121s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7720****** 耗时:   131s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7729****** 耗时:   140s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7736****** 耗时:   147s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7743****** 耗时:   155s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7749****** 耗时:   163s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7754****** 耗时:   172s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:31:07:198   结束时间: 20170508 08:34:00:268    历时:  173s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num = 27


 best object function value(  0.7988) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7731****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7540****** 耗时:    18s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7576****** 耗时:    26s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7607****** 耗时:    35s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7610****** 耗时:    45s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7597****** 耗时:    54s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7577****** 耗时:    64s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7578****** 耗时:    75s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7582****** 耗时:    84s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7556****** 耗时:    95s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7557****** 耗时:   104s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7565****** 耗时:   114s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7568****** 耗时:   123s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7579****** 耗时:   132s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7590****** 耗时:   140s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7599****** 耗时:   149s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7603****** 耗时:   159s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7604****** 耗时:   168s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7603****** 耗时:   176s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7601****** 耗时:   185s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:34:00:714   结束时间: 20170508 08:37:06:101    历时:  186s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num = 32


 best object function value(  0.7731) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7718****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7661****** 耗时:    18s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7606****** 耗时:    26s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7618****** 耗时:    35s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7631****** 耗时:    45s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7639****** 耗时:    54s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7650****** 耗时:    63s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7652****** 耗时:    73s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7647****** 耗时:    81s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7632****** 耗时:    89s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7647****** 耗时:    98s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7659****** 耗时:   109s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7668****** 耗时:   119s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7676****** 耗时:   129s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7683****** 耗时:   139s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7688****** 耗时:   148s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7694****** 耗时:   158s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7698****** 耗时:   169s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7702****** 耗时:   179s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7705****** 耗时:   187s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:37:06:592   结束时间: 20170508 08:40:13:845    历时:  187s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num = 22


 best object function value(  0.7718) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7652****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7354****** 耗时:    17s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7464****** 耗时:    27s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7520****** 耗时:    36s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7543****** 耗时:    47s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7554****** 耗时:    57s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7516****** 耗时:    67s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7488****** 耗时:    77s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7496****** 耗时:    87s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7505****** 耗时:    95s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7515****** 耗时:   106s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7522****** 耗时:   115s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7532****** 耗时:   126s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7541****** 耗时:   136s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7548****** 耗时:   146s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7554****** 耗时:   156s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7559****** 耗时:   166s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7565****** 耗时:   175s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7570****** 耗时:   185s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7576****** 耗时:   195s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:40:14:348   结束时间: 20170508 08:43:30:359    历时:  196s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num = 30


 best object function value(  0.7652) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7604****** 耗时:    10s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7473****** 耗时:    18s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7422****** 耗时:    26s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7404****** 耗时:    35s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7383****** 耗时:    45s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7378****** 耗时:    55s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7398****** 耗时:    64s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7421****** 耗时:    75s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7435****** 耗时:    84s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7445****** 耗时:    95s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7449****** 耗时:   105s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7460****** 耗时:   115s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7470****** 耗时:   124s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7476****** 耗时:   135s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7481****** 耗时:   145s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7485****** 耗时:   154s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7493****** 耗时:   164s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7502****** 耗时:   174s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7510****** 耗时:   184s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7516****** 耗时:   194s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:43:30:779   结束时间: 20170508 08:46:45:217    历时:  195s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num =  6


 best object function value(  0.7604) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7745****** 耗时:     9s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7267****** 耗时:    18s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7411****** 耗时:    27s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7494****** 耗时:    36s*****************************************
 ***************************粒子群算法进化代数:   5 最大目标函数值:  0.7546****** 耗时:    45s*****************************************
 ***************************粒子群算法进化代数:   6 最大目标函数值:  0.7581****** 耗时:    54s*****************************************
 ***************************粒子群算法进化代数:   7 最大目标函数值:  0.7608****** 耗时:    64s*****************************************
 ***************************粒子群算法进化代数:   8 最大目标函数值:  0.7626****** 耗时:    72s*****************************************
 ***************************粒子群算法进化代数:   9 最大目标函数值:  0.7645****** 耗时:    80s*****************************************
 ***************************粒子群算法进化代数:  10 最大目标函数值:  0.7661****** 耗时:    89s*****************************************
 ***************************粒子群算法进化代数:  11 最大目标函数值:  0.7675****** 耗时:    98s*****************************************
 ***************************粒子群算法进化代数:  12 最大目标函数值:  0.7687****** 耗时:   106s*****************************************
 ***************************粒子群算法进化代数:  13 最大目标函数值:  0.7696****** 耗时:   116s*****************************************
 ***************************粒子群算法进化代数:  14 最大目标函数值:  0.7704****** 耗时:   124s*****************************************
 ***************************粒子群算法进化代数:  15 最大目标函数值:  0.7709****** 耗时:   134s*****************************************
 ***************************粒子群算法进化代数:  16 最大目标函数值:  0.7713****** 耗时:   145s*****************************************
 ***************************粒子群算法进化代数:  17 最大目标函数值:  0.7718****** 耗时:   154s*****************************************
 ***************************粒子群算法进化代数:  18 最大目标函数值:  0.7722****** 耗时:   164s*****************************************
 ***************************粒子群算法进化代数:  19 最大目标函数值:  0.7726****** 耗时:   174s*****************************************
 ***************************粒子群算法进化代数:  20 最大目标函数值:  0.7730****** 耗时:   183s*****************************************


 *************************************************************
 *************并行粒子群算法率定swat参数**********************


 开始时间: 20170508 08:46:45:606   结束时间: 20170508 08:49:48:991    历时:  183s


 率定的参数个数:  4 迭代次数:   20  种子个数:   64  进程数:   32


 the best simulate: the recur_num =  1    the seed_num = 20


 best object function value(  0.7745) not arrive the threshold(0.90)


 *************************************************************
 *************************************************************
 ***************************粒子群算法进化代数:   1 最大目标函数值:  0.7622****** 耗时:    10s*****************************************
 ***************************粒子群算法进化代数:   2 最大目标函数值:  0.7494****** 耗时:    19s*****************************************
 ***************************粒子群算法进化代数:   3 最大目标函数值:  0.7460****** 耗时:    27s*****************************************
 ***************************粒子群算法进化代数:   4 最大目标函数值:  0.7383****** 耗时:    36s*****************************************
